year,month,country,num_sources,num_articles,total_words
2010,1,AU,61,1176,696703
2010,1,BD,1,103,70654
2010,1,CA,176,3001,2168998
2010,1,GB,489,7781,5123134
2010,1,GH,3,76,83850
2010,1,HK,6,27,16721
2010,1,IE,31,493,317134
2010,1,IN,107,2894,1399313
2010,1,JM,3,399,252882
2010,1,KE,1,4,3662
2010,1,LK,11,151,96666
2010,1,MY,3,38,20505
2010,1,NG,9,78,92458
2010,1,NZ,30,441,221266
2010,1,PH,10,76,40458
2010,1,PK,6,67,34710
2010,1,SG,3,32,21266
2010,1,TZ,1,1,198
2010,1,US,1349,8646,6910038
2010,1,ZA,19,196,131593
2010,2,AU,68,1155,820391
2010,2,BD,1,95,68304
2010,2,CA,197,2970,2183666
2010,2,GB,477,7246,5016319
2010,2,GH,3,127,115239
2010,2,HK,4,13,10214
2010,2,IE,36,518,310524
2010,2,IN,115,3252,1643277
2010,2,JM,2,317,200806
2010,2,KE,2,2,2879
2010,2,LK,9,100,73796
2010,2,MY,5,26,12283
2010,2,NG,8,71,59558
2010,2,NZ,32,445,192431
2010,2,PH,10,78,47206
2010,2,PK,9,52,30081
2010,2,SG,6,26,19509
2010,2,TZ,1,1,201
2010,2,US,1280,8295,6739544
2010,2,ZA,16,254,196785
2010,3,AU,88,1426,913292
2010,3,BD,1,88,52158
2010,3,CA,210,3565,2564404
2010,3,GB,514,8114,5463401
2010,3,GH,3,150,136676
2010,3,HK,7,37,27519
2010,3,IE,34,639,389418
2010,3,IN,125,4040,1926284
2010,3,JM,2,354,242926
2010,3,KE,1,1,692
2010,3,LK,9,117,84435
2010,3,MY,7,49,59896
2010,3,NG,6,85,72737
2010,3,NZ,36,607,287461
2010,3,PH,8,78,42497
2010,3,PK,9,69,43101
2010,3,SG,5,61,38235
2010,3,TZ,1,1,339
2010,3,US,1330,8426,6958322
2010,3,ZA,25,336,222610
2010,4,AU,91,1293,849302
2010,4,BD,1,77,50619
2010,4,CA,219,3637,2726270
2010,4,GB,491,7569,5441551
2010,4,GH,2,167,158782
2010,4,HK,6,18,13820
2010,4,IE,35,571,359865
2010,4,IN,123,4043,2143593
2010,4,JM,2,392,261190
2010,4,KE,3,9,4001
2010,4,LK,8,111,71896
2010,4,MY,7,60,29048
2010,4,NG,6,67,50455
2010,4,NZ,36,649,325059
2010,4,PH,9,71,36900
2010,4,PK,11,222,125080
2010,4,SG,6,74,46652
2010,4,US,1277,7748,6405212
2010,4,ZA,25,386,259592
2010,5,AU,96,1264,773913
2010,5,BD,1,88,53464
2010,5,CA,208,3352,2542092
2010,5,GB,472,7675,5563428
2010,5,GH,4,191,184293
2010,5,HK,3,19,14010
2010,5,IE,33,515,324374
2010,5,IN,132,4288,2134949
2010,5,JM,2,376,256156
2010,5,KE,2,9,4833
2010,5,LK,10,113,75919
2010,5,MY,8,68,35046
2010,5,NG,9,84,76258
2010,5,NZ,40,602,285361
2010,5,PH,13,73,44892
2010,5,PK,10,322,206982
2010,5,SG,5,45,29295
2010,5,TZ,1,1,759
2010,5,US,1274,7985,6840323
2010,5,ZA,25,422,300145
2010,6,AU,99,1504,925890
2010,6,BD,1,95,59060
2010,6,CA,212,3759,2759064
2010,6,GB,501,8325,5928683
2010,6,GH,3,142,120248
2010,6,HK,6,27,22949
2010,6,IE,37,619,363245
2010,6,IN,139,4552,2300807
2010,6,JM,2,362,256308
2010,6,KE,3,7,4762
2010,6,LK,9,38,25344
2010,6,MY,7,100,59177
2010,6,NG,12,98,89926
2010,6,NZ,37,685,327622
2010,6,PH,10,80,48446
2010,6,PK,11,270,194248
2010,6,SG,7,63,42880
2010,6,TZ,1,2,495
2010,6,US,1316,8796,7221425
2010,6,ZA,27,450,329489
2010,7,AU,95,1416,917162
2010,7,BD,2,103,62044
2010,7,CA,214,3822,2660389
2010,7,GB,491,8084,5753040
2010,7,GH,2,161,136283
2010,7,HK,4,26,19808
2010,7,IE,35,671,390158
2010,7,IN,134,4987,2431862
2010,7,JM,3,395,256752
2010,7,KE,3,8,7095
2010,7,LK,10,42,21867
2010,7,MY,9,87,47352
2010,7,NG,14,117,82876
2010,7,NZ,40,655,290945
2010,7,PH,11,87,52813
2010,7,PK,12,349,255833
2010,7,SG,6,53,20833
2010,7,US,1302,8337,6884756
2010,7,ZA,26,614,449759
2010,8,AU,111,1605,972319
2010,8,BD,1,125,85311
2010,8,CA,207,3745,2730413
2010,8,GB,468,7608,5422083
2010,8,GH,2,164,133522
2010,8,HK,7,36,40099
2010,8,IE,39,693,441765
2010,8,IN,138,5121,2523031
2010,8,JM,2,410,260586
2010,8,KE,1,10,3162
2010,8,LK,12,86,71917
2010,8,MY,9,81,69159
2010,8,NG,11,114,99155
2010,8,NZ,39,760,348564
2010,8,PH,11,91,53142
2010,8,PK,10,326,237919
2010,8,SG,6,50,25375
2010,8,TZ,1,1,282
2010,8,US,1333,8910,7383911
2010,8,ZA,33,707,460728
2010,9,AU,112,1586,1008614
2010,9,BD,2,92,58685
2010,9,CA,256,4160,3040052
2010,9,GB,489,8135,5807549
2010,9,GH,3,184,153927
2010,9,HK,5,29,21195
2010,9,IE,42,743,453940
2010,9,IN,141,4530,2188152
2010,9,JM,2,386,241543
2010,9,KE,5,10,9792
2010,9,LK,12,56,39189
2010,9,MY,9,104,77731
2010,9,NG,13,203,173368
2010,9,NZ,42,757,371600
2010,9,PH,15,97,53685
2010,9,PK,14,284,229289
2010,9,SG,4,52,26613
2010,9,US,1429,8796,7314850
2010,9,ZA,32,736,490907
2010,10,AU,98,1474,956868
2010,10,BD,2,119,85834
2010,10,CA,239,4754,3341161
2010,10,GB,503,8213,5954533
2010,10,GH,2,160,148871
2010,10,HK,6,42,39517
2010,10,IE,42,836,500698
2010,10,IN,136,4590,2225292
2010,10,JM,2,420,287569
2010,10,KE,4,8,4072
2010,10,LK,8,72,51117
2010,10,MY,9,114,101489
2010,10,NG,15,324,273305
2010,10,NZ,37,845,396976
2010,10,PH,14,88,51176
2010,10,PK,15,313,236316
2010,10,SG,6,71,36732
2010,10,TZ,1,2,689
2010,10,US,1399,9049,7653933
2010,10,ZA,34,942,606924
2010,11,AU,100,1509,1048186
2010,11,BD,1,102,68743
2010,11,CA,236,4617,3273274
2010,11,GB,507,7841,5457013
2010,11,GH,2,191,166472
2010,11,HK,5,37,31765
2010,11,IE,42,929,512995
2010,11,IN,144,4583,2250409
2010,11,JM,3,366,256677
2010,11,KE,1,4,1068
2010,11,LK,11,70,54642
2010,11,MY,7,95,63813
2010,11,NG,14,304,269914
2010,11,NZ,36,770,349389
2010,11,PH,9,88,58001
2010,11,PK,19,366,285282
2010,11,SG,3,50,20573
2010,11,TZ,2,4,2531
2010,11,US,1345,8841,7283239
2010,11,ZA,37,969,710639
2010,12,AU,95,1323,863822
2010,12,BD,2,103,72829
2010,12,CA,245,3731,2670652
2010,12,GB,487,6229,4321740
2010,12,GH,2,143,136491
2010,12,HK,8,80,53008
2010,12,IE,36,746,432392
2010,12,IN,138,5083,2653363
2010,12,JM,3,408,251494
2010,12,KE,2,13,3730
2010,12,LK,12,80,68865
2010,12,MY,9,112,65917
2010,12,NG,15,296,287504
2010,12,NZ,39,725,326293
2010,12,PH,11,72,42714
2010,12,PK,21,397,292114
2010,12,SG,6,47,20209
2010,12,TZ,2,36,27589
2010,12,US,1332,8528,7157558
2010,12,ZA,33,648,467376
2011,1,AU,98,1506,931955
2011,1,BD,1,122,77151
2011,1,CA,254,4528,3196079
2011,1,GB,548,7986,5556805
2011,1,GH,2,139,117358
2011,1,HK,10,70,57307
2011,1,IE,41,986,585327
2011,1,IN,149,5324,2811460
2011,1,JM,2,404,287131
2011,1,KE,4,13,4952
2011,1,LK,13,185,158599
2011,1,MY,10,127,80662
2011,1,NG,14,328,292776
2011,1,NZ,40,788,359140
2011,1,PH,15,77,52367
2011,1,PK,17,392,290087
2011,1,SG,5,65,31830
2011,1,TZ,2,55,33285
2011,1,US,1453,9467,7749085
2011,1,ZA,33,981,578848
2011,2,AU,100,1464,1005653
2011,2,BD,3,118,75761
2011,2,CA,275,4628,3207265
2011,2,GB,513,7115,5101427
2011,2,GH,2,145,110806
2011,2,HK,8,44,41303
